MEMBER,aze,aze,Gia,To,2000,9,11,8
MEMBER,testgv1,pass,Gia,To,2000,9,11,8
MEMBER,testgv2,pw2,Gia,To,2000,9,11,8
MEMBER,test,132456,tre,tre,2026,5,11,3
MEMBER,testtest,test,test,test,2006,5,5,3
MEMBER,caac,caca,zaezaeaezaeaz,eaezaezaezaeza,2026,9,21,3
MEMBER,12,Lucas1234,Lucas,Piveron,2002,12,6,3
MEMBER,12,Lucas123,lucas,piveron,1999,1,11,3
MEMBER,22,11,aaa,aaa,1111,11,11,3
MEMBER,zach,zach,zach,h,2006,3,21,3
MEMBER,11,123333,caca,hitler,2000,1,1,3
MEMBER,12,GUUHHUUH,ccc,mmm,1999,12,12,3
MEMBER,03,Lucas1234,Lucas,Piveron,2006,2,3,3
